1 inguid1: Waypoint/line guidance against GPS target coordinates ' Missile ' May 17 2021 03:43:47
  0  0 40
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
1853.67         10.2701         0               0               1.64255         
0               3.59178         -37.5264        -25.2074        -37.5264        
0.0189857       1.20641         0.0626884       1.1079          -0.361543       
-1.03642        51.1911         2000            18172           0               
17              0.874948        -5.66591        -11.5802        24723.3         
0.653862        45.0349         35.0176         1691.85         218.151         
22.6572         13.8819         1955.27         3161.71         -691.853        
195.435         81.5809         -52.3389        6               135.452         
1850.71         9.50163         0               0               1.30797         
0               2.57959         -24.9145        -14.6176        -24.9145        
0.00445882      1.21443         0.0450224       0.839853        -0.166975       
-0.577297       52.3389         2000            18068.3         0               
17.5            0.988554        -2.68217        -9.71765        24496           
0.651905        45.0354         35.0185         1718.16         217.435         
22.1109         14.0356         2053            3201.9          -718.159        
195.43          79.3992         -52.7334        6               135.45          
1847.66         8.13901         0               0               1.02348         
0               1.73333         -14.4645        -5.85146        -14.4645        
0.00166895      1.22218         0.0302523       0.745107        -0.0523137      
-0.273287       52.7334         2000            17965.4         0               
18              1.02801         -0.930739       -8.28735        24277.2         
0.65004         45.0358         35.0193         1744.45         216.748         
21.8783         13.9641         2150.66         3241.31         -744.447        
195.193         78.3812         -52.3042        6               135.448         
1844.58         6.98168         0               0               0.847208        
0               1.22649         -5.58241        1.7726          -5.58241        
0.00665979      1.2298          0.0214062       0.768865        0.0131208       
-0.0948343      52.3042         2000            17863           0               
18.5            1.03889         0.141163        -7.72963        24065.5         
0.648238        45.0362         35.0202         1770.38         216.083         
21.8324         13.7589         2248.17         3280.39         -770.382        
194.829         78.0539         -51.3924        6               135.446         
1841.52         6.55447         0               0               0.785593        
0               1.07528         1.67474         7.20624         1.67474         
0.0153747       1.23668         0.0187672       0.858487        0.0494659       
0.0143834       51.3924         2000            17761           0               
19              1.04076         0.850788        -7.95262        23861.1         
0.646497        45.0366         35.0211         1795.83         215.44          
21.9062         13.5322         2345.47         3319.43         -795.828        
194.335         78.1466         -50.4113        6               135.444         
1838.51         6.81078         0               0               0.812588        
0               1.1991          6.45631         9.46361         6.45631         
0.0242165       1.24341         0.0209283       0.96421         0.0671906       
0.0866894       50.4113         2000            17659.2         0               
19.5            1.03379         1.28061         -8.64484        23662.7         
0.644801        45.0371         35.022          1820.83         214.812         
22.0579         13.3688         2442.48         3358.58         -820.834        
193.694         78.4854         -49.6686        6               135.442         
1835.53         7.41642         0               0               0.887541        
0               1.46857         8.53128         9.3801          8.53128         
0.030445        1.25003         0.0256314       1.04534         0.0727331       
0.130486        49.6686         2000            17557.7         0               
20              1.02667         1.41397         -9.13363        23467.6         
0.643121        45.0375         35.0228         1845.56         214.19          
22.2503         13.3017         2539.14         3397.93         -845.559        
192.923         78.9281         -49.2807        6               135.44          
1832.58         7.81715         0               0               0.93841         
0               1.59328         8.79425         8.76317         8.79425         
0.00953326      1.25663         0.0278079       0.707881        0.0718395       
0.144075        49.2807         2000            17456.3         0               
20.5            1.06163         1.12486         -6.7526         23276.9         
0.641475        45.0379         35.0237         1870.05         213.583         
22.4302         13.1239         2635.42         3437.51         -870.052        
192.268         79.3659         -48.4956        6               135.437         
1829.64         5.99506         0               0               0.695901        
0               0.702461        9.68561         11.9738         9.68561         
-0.0340297      1.26319         0.0122603       0.0313094       0.0728202       
0.114619        48.4956         2000            17355.1         0               
21              0.996085        0.693131        -2.4305         23095.7         
0.639917        45.0384         35.0246         1893.76         213.007         
22.5606         12.4718         2731.48         3477.3          -893.764        
192.065         79.7939         -46.0009        6               135.435         
1826.78         2.12849         0               0               0.25864         
0               -0.793139       17.6959         36.0192         17.6959         
-0.0642766      1.26952         -0.0138429      -0.461628       0.081612        
0.0706273       46.0009         2000            17254           0               
21.5            0.753591        -0.129247       1.97117         22920.9         
0.638365        45.0388         35.0254         1915.68         212.434         
22.576          11.2098         2827.58         3517.27         -915.678        
192.413         79.9992         -41.2977        6               135.433         
1824.12         -1.31677        0               0               -0.198214       
0               -2.30542        -3.6837         -62.4637        -3.6837         
-0.0712559      1.27562         -0.0402372      -0.631767       0.108591        
-0.0131698      41.2977         2000            17152.9         0               
22              0.513857        2.08237         4.32175         22753.4         
0.636793        45.0393         35.0263         1934.76         211.865         
22.7351         9.46706         2923.88         3557.41         -934.762        
192.742         80.7645         -34.8476        6               135.431         
1821.81         -2.79667        0               0               -0.48518        
0               -3.23919        -25.9346        -26.8301        -25.9346        
-0.0645618      1.28143         -0.0565346      -0.618951       0.113833        
0.212188        34.8476         2000            17051.4         0               
22.5            0.443578        2.20008         5.09683         22608.8         
0.635397        45.0397         35.0272         1950.39         211.373         
23.0495         7.50024         3020.28         3598.12         -950.389        
192.834         82.0498         -27.5906        6               135.429         
1819.92         -3.11569        0               0               -0.561926       
0               -3.4369         -22.9358        -19.3122        -22.9358        
-0.0394797      1.2865          -0.0599852      -0.320158       0.0948701       
0.224184        27.5906         2000            16949.7         0               
23              0.593348        1.48107         3.8333          22511.3         
