0	1	2	
1.84	36721.5	80278.4	
1.85	38748.3	84709.3	
1.86	40887	89384.6	
1.87	43143.6	94318.1	
1.88	45524.9	99523.8	
1.89	48037.5	105017	
1.9	50688.9	110813	
1.91	53486.6	116929	
1.92	56438.7	123383	
1.93	59553.7	130193	
1.94	62840.6	137378	
1.95	66309	144961	
1.96	69968.8	152962	
1.97	73830.5	161404	
1.98	77905.4	170312	
1.99	82205.3	179712	
2	86742.4	189631	
2.01	91529.9	200097	
2.02	96581.7	211141	
2.03	101912	222795	
2.04	107537	235091	
2.05	113472	248067	
2.06	119735	261758	
2.07	126344	276205	
2.08	133317	291449	
2.09	140675	307535	
2.1	148439	324509	
2.11	156632	342419	
2.12	165277	361318	
2.13	174399	381260	
2.14	184024	402303	
2.15	194181	424507	
2.16	204898	447937	
2.17	216207	472659	
2.18	228140	498746	
2.19	240732	526273	
2.2	254018	555320	
2.21	268038	585969	
2.22	282832	618310	
2.23	298442	652436	
2.24	314913	688445	
2.25	332294	726442	
2.26	350634	766536	
2.27	369987	808843	
2.28	390407	853485	
2.29	411954	900590	
2.3	434691	950296	
2.31	458683	1.00274e+06	
2.32	483998	1.05809e+06	
2.33	510711	1.11649e+06	
2.34	538899	1.17811e+06	
2.35	568642	1.24313e+06	
2.36	600026	1.31174e+06	
2.37	633143	1.38414e+06	
2.38	668087	1.46053e+06	
2.39	704961	1.54114e+06	
2.4	743869	1.6262e+06	
2.41	784925	1.71596e+06	
2.42	828246	1.81066e+06	
2.43	873959	1.9106e+06	
2.44	922195	2.01605e+06	
2.45	973092	2.12732e+06	
2.46	1.0268e+06	2.24473e+06	
2.47	1.08347e+06	2.36862e+06	
2.48	1.14327e+06	2.49935e+06	
2.49	1.20637e+06	2.63729e+06	
2.5	1.27295e+06	2.78285e+06	
2.51	1.34321e+06	2.93644e+06	
2.52	1.41734e+06	3.09851e+06	
2.53	1.49557e+06	3.26952e+06	
2.54	1.57811e+06	3.44998e+06	
2.55	1.66521e+06	3.64039e+06	
2.56	1.75712e+06	3.84131e+06	
2.57	1.8541e+06	4.05332e+06	
2.58	1.95643e+06	4.27703e+06	
2.59	2.06441e+06	4.51309e+06	
2.6	2.17835e+06	4.76217e+06	
2.61	2.29857e+06	5.02501e+06	
2.62	2.42544e+06	5.30235e+06	
2.63	2.5593e+06	5.595e+06	
2.64	2.70056e+06	5.9038e+06	
2.65	2.84961e+06	6.22964e+06	
2.66	3.00688e+06	6.57347e+06	
2.67	3.17284e+06	6.93627e+06	
2.68	3.34795e+06	7.3191e+06	
2.69	3.53273e+06	7.72305e+06	
2.7	3.72771e+06	8.1493e+06	
2.71	3.93345e+06	8.59908e+06	
2.72	4.15055e+06	9.07368e+06	
2.73	4.37963e+06	9.57448e+06	
2.74	4.62135e+06	1.01029e+07	
2.75	4.87641e+06	1.06605e+07	
2.76	5.14555e+06	1.12489e+07	
2.77	5.42954e+06	1.18697e+07	
2.78	5.72921e+06	1.25249e+07	
2.79	6.04542e+06	1.32161e+07	
2.8	6.37907e+06	1.39456e+07	
2.81	6.73115e+06	1.47152e+07	
2.82	7.10266e+06	1.55274e+07	
2.83	7.49467e+06	1.63844e+07	
2.84	7.90831e+06	1.72887e+07	
2.85	8.34479e+06	1.82429e+07	
2.86	8.80535e+06	1.92497e+07	
2.87	9.29134e+06	2.03122e+07	
2.88	9.80415e+06	2.14332e+07	
2.89	1.03453e+07	2.26162e+07	
2.9	1.09162e+07	2.38644e+07	
2.91	1.15187e+07	2.51816e+07	
2.92	1.21545e+07	2.65714e+07	
2.93	1.28253e+07	2.80379e+07	
2.94	1.35332e+07	2.95854e+07	
2.95	1.42801e+07	3.12183e+07	
2.96	1.50682e+07	3.29413e+07	
